Unnamed: 0,Company Name, Location,Datum,Detail,Status Rocket, Rocket,Status Mission
623,CASC,"Kennedy Space Center, FL, USA",1982-05-12 09:12,New Glenn,StatusRetired,142.0,Success
624,Roscosmos,"Plesetsk Cosmodrome, Russia",1993-03-10 11:20,Falcon 9,StatusRetired,226.6,Failure
625,Arianespace,"Cape Canaveral, FL, USA",1982-09-05 09:19,Atlas V,StatusRetired,80.0,Success
626,CASC,"Guiana Space Centre, French Guiana",2009-09-12 17:35,Proton-M,StatusRetired,162.7,Failure
627,ULA,"Cape Canaveral, FL, USA",2018-06-18 23:04,Vega,StatusRetired,,Success
628,RVSN USSR,"Cape Canaveral, FL, USA",1979-01-10 04:59,Ariane 5,StatusRetired,,Prelaunch Failure
629,Arianespace,"Guiana Space Centre, French Guiana",2019-07-06 11:57,Atlas V,StatusRetired,334.3,Success
630,RVSN USSR,"Guiana Space Centre, French Guiana",1965-07-28 02:39,PSLV,StatusActive,679.3,Partial Failure
631,Roscosmos,"Tanegashima Space Center, Japan",1968-10-12 21:01,H-IIA,StatusRetired,263.4,Partial Failure
632,SpaceX,"Baikonur Cosmodrome, Kazakhstan",2009-10-07 17:40,Starship,StatusRetired,102.5,Success
633,Boeing,"Satish Dhawan Space Centre, India",1957-04-18 12:38,Long March 3B,StatusRetired,,Failure
634,SpaceX,"Baikonur Cosmodrome, Kazakhstan",2014-08-02 09:08,New Glenn,StatusRetired,65.8,Failure
635,Blue Origin,"Kennedy Space Center, FL, USA",2014-06-10 21:46,Delta II,StatusRetired,135.8,Success
636,RVSN USSR,"Guiana Space Centre, French Guiana",1957-04-15 04:11,Antares,StatusRetired,63.6,Failure
637,Arianespace,"Plesetsk Cosmodrome, Russia",2003-04-12 00:43,New Glenn,StatusRetired,68.8,Partial Failure
638,Arianespace,"Kennedy Space Center, FL, USA",1990-02-26 21:37,New Glenn,StatusRetired,,Success
639,CASC,"Guiana Space Centre, French Guiana",1988-02-17 18:18,Antares,StatusActive,,Success
640,CASC,"Baikonur Cosmodrome, Kazakhstan",2018-12-04 15:30,Atlas V,StatusActive,,Success
641,CASC,"Jiuquan, China",2010-04-07 18:02,Proton-M,StatusRetired,,Success
642,CASC,"Jiuquan, China",2004-05-09 22:41,Falcon 9,StatusRetired,,Success
643,Roscosmos,"Satish Dhawan Space Centre, India",1981-08-19 17:25,Falcon 9,StatusRetired,352.4,Failure
644,SpaceX,"Vandenberg AFB, CA, USA",1996-06-28 12:57,New Glenn,StatusActive,173.3,Failure
645,ESA,"Plesetsk Cosmodrome, Russia",2001-04-27 17:02,Starship,StatusActive,153.1,Success
646,ISRO,"Cape Canaveral, FL, USA",2009-11-23 22:02,Antares,StatusActive,280.6,Success
647,ULA,"Wenchang, China",1957-07-07 22:24,Antares,StatusRetired,,Success
648,ESA,"Kennedy Space Center, FL, USA",1972-08-23 11:26,Delta II,StatusActive,,Partial Failure
649,Arianespace,"Guiana Space Centre, French Guiana",2017-02-02 19:38,Vega,StatusActive,66.7,Success
650,SpaceX,"Jiuquan, China",1995-12-06 23:07,Electron,StatusRetired,,Prelaunch Failure
651,Roscosmos,"Vandenberg AFB, CA, USA",2020-07-18 08:45,Vulcan,StatusRetired,3703.3,Success
652,ULA,"Plesetsk Cosmodrome, Russia",2019-02-06 04:29,Vulcan,StatusActive,309.9,Success
653,Roscosmos,"Plesetsk Cosmodrome, Russia",1961-02-13 20:18,New Glenn,StatusRetired,54.1,Success
654,RVSN USSR,"Jiuquan, China",1978-08-26 20:15,Proton-M,StatusRetired,991.2,Failure
655,Rocket Lab,"Wenchang, China",1985-02-19 23:43,Vulcan,StatusRetired,,Success
656,Roscosmos,"Vandenberg AFB, CA, USA",2011-11-02 20:35,PSLV,StatusRetired,227.0,Success
657,JAXA,"Tanegashima Space Center, Japan",1959-09-12 07:38,Starship,StatusRetired,,Partial Failure
658,SpaceX,"Wenchang, China",1968-12-15 14:05,Proton-M,StatusActive,,Success
659,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1982-01-14 04:13,PSLV,StatusActive,95.6,Success
660,Boeing,"Plesetsk Cosmodrome, Russia",1972-09-06 20:44,Vega,StatusRetired,543.4,Partial Failure
661,CASC,"Vandenberg AFB, CA, USA",2007-01-18 09:49,New Glenn,StatusRetired,123.4,Success
662,ULA,"Jiuquan, China",1993-10-05 03:07,PSLV,StatusRetired,273.9,Success
663,CASC,"Plesetsk Cosmodrome, Russia",1978-10-18 23:10,New Glenn,StatusActive,268.0,Success
664,Roscosmos,"Wenchang, China",2013-02-03 16:49,New Glenn,StatusRetired,132.9,Success
665,Arianespace,"Cape Canaveral, FL, USA",1985-06-03 20:56,H-IIA,StatusActive,33.0,Success
666,Roscosmos,"Cape Canaveral, FL, USA",1970-06-22 10:47,Proton-M,StatusRetired,64.9,Failure
667,SpaceX,"Plesetsk Cosmodrome, Russia",1984-01-22 11:44,Antares,StatusActive,302.5,Success
668,SpaceX,"Vandenberg AFB, CA, USA",1961-07-10 15:54,Long March 3B,StatusRetired,201.8,Partial Failure
669,CASC,"Vandenberg AFB, CA, USA",2003-08-19 20:32,Electron,StatusActive,65.7,Success
670,Arianespace,"Kennedy Space Center, FL, USA",2005-02-03 15:46,New Glenn,StatusActive,,Success
671,RVSN USSR,"Baikonur Cosmodrome, Kazakhstan",1986-08-12 05:43,Long March 3B,StatusActive,,Success
672,SpaceX,"Kennedy Space Center, FL, USA",2002-09-16 07:06,Electron,StatusRetired,265.8,Partial Failure
673,SpaceX,"Kennedy Space Center, FL, USA",2018-06-17 01:43,Ariane 5,StatusActive,916.2,Success
674,Roscosmos,"Baikonur Cosmodrome, Kazakhstan",2008-05-07 20:13,Proton-M,StatusRetired,15.1,Success
675,ULA,"Jiuquan, China",1961-12-13 15:42,Vulcan,StatusRetired,498.0,Success
676,SpaceX,"Cape Canaveral, FL, USA",1968-09-24 19:08,Antares,StatusRetired,,Success
677,SpaceX,"Jiuquan, China",1972-12-02 09:16,Vega,StatusActive,,Success
678,Virgin Orbit,"Kennedy Space Center, FL, USA",1982-11-04 11:05,Proton-M,StatusRetired,175.0,Success
679,Northrop,"Vandenberg AFB, CA, USA",1982-09-10 18:42,Falcon 9,StatusRetired,630.4,Success
680,CASC,"Baikonur Cosmodrome, Kazakhstan",2004-01-07 08:52,H-IIA,StatusRetired,850.4,Partial Failure
681,ULA,"Wenchang, China",1977-11-24 05:58,Falcon 9,StatusRetired,,Success
682,Arianespace,"Guiana Space Centre, French Guiana",1995-03-17 23:24,Vulcan,StatusRetired,63.5,Failure
683,CASC,"Guiana Space Centre, French Guiana",1992-09-20 15:51,New Glenn,StatusRetired,40.7,Success
684,Roscosmos,"Satish Dhawan Space Centre, India",1989-11-06 15:05,Electron,StatusRetired,187.4,Success
685,RVSN USSR,"Plesetsk Cosmodrome, Russia",2018-02-19 04:20,Atlas V,StatusRetired,196.8,Partial Failure
686,Arianespace,"Tanegashima Space Center, Japan",1986-12-05 03:33,Soyuz,StatusActive,398.4,Failure
687,ESA,"Tanegashima Space Center, Japan",1993-04-10 05:40,Ariane 5,StatusActive,230.7,Success
688,SpaceX,"Wenchang, China",1979-04-09 16:13,Delta II,StatusActive,362.7,Failure
689,Arianespace,"Satish Dhawan Space Centre, India",2014-02-27 06:21,Atlas V,StatusActive,,Prelaunch Failure
690,SpaceX,"Cape Canaveral, FL, USA",1966-03-13 18:00,New Glenn,StatusRetired,856.4,Failure
691,SpaceX,"Wenchang, China",2010-03-19 19:30,Antares,StatusRetired,,Success
692,RVSN USSR,"Kennedy Space Center, FL, USA",1961-01-21 14:17,Vulcan,StatusActive,87.4,Success
693,ULA,"Wenchang, China",1992-06-24 02:49,Atlas V,StatusRetired,67.5,Failure
694,SpaceX,"Guiana Space Centre, French Guiana",1990-08-06 01:41,Proton-M,StatusActive,313.0,Failure
695,MHI,"Tanegashima Space Center, Japan",2008-12-04 10:26,Electron,StatusRetired,,Success
696,RVSN USSR,"Cape Canaveral, FL, USA",1987-03-24 23:34,Atlas V,StatusRetired,,Success
697,JAXA,"Plesetsk Cosmodrome, Russia",1966-05-27 06:07,Soyuz,StatusActive,,Prelaunch Failure
698,MHI,"Kennedy Space Center, FL, USA",2014-01-03 18:17,Atlas V,StatusRetired,,Success
699,Arianespace,"Plesetsk Cosmodrome, Russia",1975-10-03 12:44,Proton-M,StatusActive,,Failure
700,ESA,"Guiana Space Centre, French Guiana",2014-07-04 23:50,Falcon 9,StatusRetired,67.7,Success
701,Northrop,"Satish Dhawan Space Centre, India",1988-10-25 22:11,Starship,StatusRetired,61.3,Prelaunch Failure
702,RVSN USSR,"Plesetsk Cosmodrome, Russia",1957-01-05 16:29,Atlas V,StatusActive,78.3,Failure
703,ISRO,"Satish Dhawan Space Centre, India",2012-12-08 21:43,Delta II,StatusRetired,,Success
704,CASC,"Kennedy Space Center, FL, USA",1961-11-16 12:24,H-IIA,StatusActive,,Prelaunch Failure
705,JAXA,"Tanegashima Space Center, Japan",2001-09-22 11:50,H-IIA,StatusActive,,Partial Failure
706,Arianespace,"Vandenberg AFB, CA, USA",1960-08-03 13:06,Vulcan,StatusRetired,,Success
707,CASC,"Wenchang, China",1972-07-24 12:05,PSLV,StatusRetired,591.6,Partial Failure
708,SpaceX,"Jiuquan, China",1980-10-12 23:18,Ariane 5,StatusRetired,,Failure
709,MHI,"Cape Canaveral, FL, USA",1972-07-25 18:35,New Glenn,StatusRetired,70.2,Success
710,Arianespace,"Baikonur Cosmodrome, Kazakhstan",2011-05-08 18:08,Soyuz,StatusRetired,231.0,Success
711,Roscosmos,"Baikonur Cosmodrome, Kazakhstan",1958-05-13 15:58,Long March 3B,StatusActive,263.0,Failure
712,CASC,"Kennedy Space Center, FL, USA",2005-11-04 03:37,Soyuz,StatusRetired,150.7,Success
713,MHI,"Wenchang, China",1984-05-14 07:58,PSLV,StatusRetired,,Failure
714,CASC,"Wenchang, China",2020-01-14 23:47,Delta II,StatusRetired,51.1,Success
715,JAXA,"Wenchang, China",1988-08-13 04:52,New Glenn,StatusActive,,Partial Failure
716,ESA,"Cape Canaveral, FL, USA",1983-12-27 21:41,Electron,StatusRetired,,Partial Failure
717,CASC,"Tanegashima Space Center, Japan",1976-11-06 22:44,Antares,StatusRetired,,Failure
718,CASC,"Vandenberg AFB, CA, USA",1980-01-17 13:38,Falcon 9,StatusRetired,,Partial Failure
719,JAXA,"Wenchang, China",1968-04-04 19:05,Long March 3B,StatusRetired,85.4,Partial Failure
720,RVSN USSR,"Jiuquan, China",2006-09-08 06:36,Proton-M,StatusActive,76.8,Success
721,JAXA,"Vandenberg AFB, CA, USA",1991-09-17 20:17,Proton-M,StatusRetired,102.0,Failure
722,Arianespace,"Cape Canaveral, FL, USA",2016-05-03 22:43,Ariane 5,StatusRetired,406.0,Partial Failure
723,RVSN USSR,"Wenchang, China",1989-04-17 05:58,Long March 3B,StatusRetired,58.3,Success
724,CASC,"Kennedy Space Center, FL, USA",1989-03-09 00:03,Vulcan,StatusActive,283.0,Prelaunch Failure
725,Roscosmos,"Cape Canaveral, FL, USA",2017-03-02 18:43,Starship,StatusRetired,90.2,Success
726,ESA,"Vandenberg AFB, CA, USA",2007-12-25 14:34,Proton-M,StatusRetired,20.2,Success
727,Arianespace,"Satish Dhawan Space Centre, India",1999-05-13 22:26,Ariane 5,StatusActive,105.3,Failure
728,ISRO,"Satish Dhawan Space Centre, India",1993-10-20 19:59,Delta II,StatusActive,764.7,Failure
729,Roscosmos,"Kennedy Space Center, FL, USA",1968-01-02 07:42,Long March 3B,StatusRetired,74.8,Failure
730,RVSN USSR,"Plesetsk Cosmodrome, Russia",1959-05-20 15:40,Delta II,StatusRetired,,Failure
731,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1957-06-28 02:31,Proton-M,StatusActive,,Failure
732,CASC,"Kennedy Space Center, FL, USA",1989-07-11 04:19,New Glenn,StatusActive,180.8,Failure
733,ESA,"Satish Dhawan Space Centre, India",1996-12-27 13:59,H-IIA,StatusActive,693.9,Success
734,SpaceX,"Kennedy Space Center, FL, USA",1966-09-26 14:05,Soyuz,StatusActive,67.2,Failure
735,SpaceX,"Guiana Space Centre, French Guiana",1999-03-22 03:39,Soyuz,StatusRetired,150.0,Failure
736,Blue Origin,"Satish Dhawan Space Centre, India",2000-02-15 18:58,New Glenn,StatusActive,,Success
737,Arianespace,"Tanegashima Space Center, Japan",1985-03-11 04:12,Delta II,StatusActive,72.7,Success
738,Rocket Lab,"Wenchang, China",1969-12-23 15:00,H-IIA,StatusRetired,159.7,Success
739,Arianespace,"Tanegashima Space Center, Japan",1968-09-03 12:53,Ariane 5,StatusActive,396.3,Failure
740,CASC,"Plesetsk Cosmodrome, Russia",1987-12-03 10:52,New Glenn,StatusRetired,,Success
741,JAXA,"Kennedy Space Center, FL, USA",2002-07-28 07:24,Falcon 9,StatusRetired,124.8,Success
742,Northrop,"Guiana Space Centre, French Guiana",1958-09-26 07:31,Electron,StatusRetired,,Success
743,Roscosmos,"Satish Dhawan Space Centre, India",2017-02-12 23:27,Falcon 9,StatusRetired,382.6,Success
744,Roscosmos,"Wenchang, China",2007-05-24 13:44,Vega,StatusRetired,173.9,Success
745,ESA,"Guiana Space Centre, French Guiana",2006-04-05 02:35,PSLV,StatusActive,,Success
746,Arianespace,"Guiana Space Centre, French Guiana",1991-02-20 19:46,Atlas V,StatusRetired,109.0,Success
747,ULA,"Tanegashima Space Center, Japan",1979-09-07 14:26,Antares,StatusRetired,147.1,Success
748,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1973-09-07 20:44,Vega,StatusActive,,Prelaunch Failure
749,Roscosmos,"Vandenberg AFB, CA, USA",1982-06-13 08:27,Falcon 9,StatusRetired,77.3,Success
750,Arianespace,"Baikonur Cosmodrome, Kazakhstan",1964-11-09 09:43,Electron,StatusRetired,,Partial Failure
751,CASC,"Kennedy Space Center, FL, USA",1985-06-25 13:32,H-IIA,StatusActive,,Failure
752,ULA,"Kennedy Space Center, FL, USA",1982-08-21 13:13,Soyuz,StatusRetired,172.6,Success
753,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1966-06-13 07:47,Antares,StatusRetired,739.5,Failure
754,SpaceX,"Vandenberg AFB, CA, USA",1982-01-12 13:00,Soyuz,StatusRetired,66.5,Prelaunch Failure
755,Northrop,"Satish Dhawan Space Centre, India",2018-04-13 15:17,Falcon 9,StatusRetired,,Success
756,CASC,"Guiana Space Centre, French Guiana",1990-07-24 06:14,Falcon 9,StatusRetired,601.8,Success
757,RVSN USSR,"Guiana Space Centre, French Guiana",2007-02-10 23:48,PSLV,StatusActive,61.7,Success
758,Northrop,"Baikonur Cosmodrome, Kazakhstan",1997-09-01 18:54,Vulcan,StatusActive,,Success
759,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1963-08-25 12:08,Falcon 9,StatusActive,514.7,Partial Failure
760,Roscosmos,"Cape Canaveral, FL, USA",1960-08-08 23:55,Delta II,StatusRetired,,Partial Failure
761,SpaceX,"Vandenberg AFB, CA, USA",2014-07-22 14:56,Antares,StatusRetired,,Success
762,ISRO,"Tanegashima Space Center, Japan",2009-04-16 02:23,Proton-M,StatusRetired,23.8,Success
763,Blue Origin,"Guiana Space Centre, French Guiana",2006-02-13 00:15,Atlas V,StatusRetired,38.4,Success
764,Roscosmos,"Tanegashima Space Center, Japan",2001-03-03 07:28,Ariane 5,StatusRetired,,Prelaunch Failure
765,Northrop,"Wenchang, China",1967-12-03 22:44,Atlas V,StatusRetired,100.8,Failure
766,Arianespace,"Satish Dhawan Space Centre, India",1985-06-24 07:48,Atlas V,StatusActive,,Partial Failure
767,CASC,"Baikonur Cosmodrome, Kazakhstan",2012-12-05 21:54,Vega,StatusRetired,332.9,Success
768,ESA,"Cape Canaveral, FL, USA",1992-12-26 13:58,Starship,StatusRetired,,Failure
769,SpaceX,"Cape Canaveral, FL, USA",1981-05-11 20:29,Starship,StatusRetired,423.8,Success
770,Arianespace,"Kennedy Space Center, FL, USA",1977-12-07 20:38,Falcon 9,StatusActive,,Partial Failure
771,ULA,"Wenchang, China",2017-08-21 14:15,Delta II,StatusRetired,146.0,Success
772,Boeing,"Satish Dhawan Space Centre, India",2013-06-24 18:05,New Glenn,StatusRetired,692.0,Success
773,CASC,"Satish Dhawan Space Centre, India",1992-06-10 22:32,Vega,StatusActive,,Success
774,RVSN USSR,"Plesetsk Cosmodrome, Russia",1966-01-10 11:17,New Glenn,StatusActive,,Failure
775,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1993-04-20 15:11,Vega,StatusActive,61.9,Success
776,CASC,"Kennedy Space Center, FL, USA",1965-05-02 19:44,Proton-M,StatusRetired,,Success
777,Boeing,"Vandenberg AFB, CA, USA",1980-12-03 07:58,Proton-M,StatusActive,1645.4,Success
778,Arianespace,"Vandenberg AFB, CA, USA",2020-11-08 21:32,H-IIA,StatusRetired,183.1,Success
779,Northrop,"Jiuquan, China",1991-03-11 20:38,Proton-M,StatusRetired,242.9,Success
780,SpaceX,"Satish Dhawan Space Centre, India",2005-09-13 14:28,Delta II,StatusRetired,133.8,Success
781,SpaceX,"Tanegashima Space Center, Japan",1991-01-07 21:44,Antares,StatusRetired,128.7,Success
782,SpaceX,"Wenchang, China",2004-06-13 12:59,Starship,StatusActive,161.3,Success
783,RVSN USSR,"Cape Canaveral, FL, USA",1992-06-02 08:23,H-IIA,StatusRetired,38.5,Success
784,Roscosmos,"Baikonur Cosmodrome, Kazakhstan",1974-10-06 14:35,Long March 3B,StatusActive,287.2,Failure
785,ISRO,"Wenchang, China",2005-05-09 12:26,PSLV,StatusRetired,,Success
786,CASC,"Guiana Space Centre, French Guiana",1995-12-20 11:36,Long March 3B,StatusActive,104.2,Success
787,Roscosmos,"Plesetsk Cosmodrome, Russia",1988-05-25 06:07,Atlas V,StatusRetired,153.4,Partial Failure
788,ULA,"Cape Canaveral, FL, USA",1980-10-02 04:40,Vulcan,StatusRetired,69.3,Success
789,MHI,"Wenchang, China",1979-05-18 13:57,Vega,StatusRetired,,Failure
790,JAXA,"Wenchang, China",2018-06-16 11:35,New Glenn,StatusRetired,92.3,Success
791,Boeing,"Plesetsk Cosmodrome, Russia",1988-08-25 19:39,Delta II,StatusActive,430.8,Prelaunch Failure
792,SpaceX,"Wenchang, China",1993-02-12 16:39,Antares,StatusActive,62.1,Success
793,Roscosmos,"Kennedy Space Center, FL, USA",1968-06-07 20:28,New Glenn,StatusRetired,125.6,Partial Failure
794,ULA,"Cape Canaveral, FL, USA",2005-01-07 00:51,Antares,StatusRetired,,Success
795,RVSN USSR,"Guiana Space Centre, French Guiana",2011-04-17 01:03,H-IIA,StatusRetired,,Success
796,Arianespace,"Cape Canaveral, FL, USA",1969-10-13 23:20,Long March 3B,StatusActive,108.8,Success
797,Arianespace,"Plesetsk Cosmodrome, Russia",1979-03-11 00:06,Vulcan,StatusRetired,85.0,Success
798,CASC,"Guiana Space Centre, French Guiana",1981-09-06 00:40,Vega,StatusRetired,122.7,Success
799,Arianespace,"Vandenberg AFB, CA, USA",1991-03-23 02:43,Delta II,StatusRetired,133.0,Success
800,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1997-06-27 18:14,Ariane 5,StatusRetired,222.6,Partial Failure
801,ESA,"Satish Dhawan Space Centre, India",1986-01-14 21:15,Ariane 5,StatusRetired,,Success
802,Roscosmos,"Vandenberg AFB, CA, USA",1973-12-06 09:53,Ariane 5,StatusActive,127.5,Success
803,RVSN USSR,"Kennedy Space Center, FL, USA",2005-06-06 05:28,PSLV,StatusActive,,Failure
804,ESA,"Cape Canaveral, FL, USA",2018-04-02 16:52,Vulcan,StatusRetired,6.6,Success
805,Arianespace,"Guiana Space Centre, French Guiana",1976-08-22 21:23,Proton-M,StatusRetired,94.4,Success
806,Roscosmos,"Baikonur Cosmodrome, Kazakhstan",2004-11-20 16:20,Antares,StatusRetired,,Success
807,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1981-09-25 18:49,PSLV,StatusRetired,232.5,Success
808,RVSN USSR,"Plesetsk Cosmodrome, Russia",1978-04-15 10:55,Starship,StatusRetired,,Success
809,CASC,"Plesetsk Cosmodrome, Russia",1969-10-28 06:41,PSLV,StatusRetired,,Success
810,CASC,"Plesetsk Cosmodrome, Russia",2015-12-17 06:04,Vulcan,StatusRetired,,Success
811,CASC,"Tanegashima Space Center, Japan",1975-10-08 11:47,New Glenn,StatusActive,432.7,Success
812,ULA,"Cape Canaveral, FL, USA",2005-06-05 20:17,Delta II,StatusRetired,,Success
813,Arianespace,"Jiuquan, China",1992-01-17 02:19,New Glenn,StatusRetired,68.0,Success
814,CASC,"Kennedy Space Center, FL, USA",1968-04-20 14:04,Delta II,StatusActive,149.9,Failure
815,ISRO,"Wenchang, China",2017-07-01 12:50,Atlas V,StatusRetired,,Success
816,ESA,"Kennedy Space Center, FL, USA",1997-12-22 11:54,H-IIA,StatusRetired,79.3,Success
817,CASC,"Satish Dhawan Space Centre, India",1975-01-18 20:36,New Glenn,StatusRetired,82.3,Failure
818,ULA,"Plesetsk Cosmodrome, Russia",1968-08-15 05:06,Soyuz,StatusActive,73.5,Partial Failure
819,RVSN USSR,"Satish Dhawan Space Centre, India",1965-12-05 09:47,Ariane 5,StatusActive,,Partial Failure
820,SpaceX,"Kennedy Space Center, FL, USA",1963-10-07 07:08,Falcon 9,StatusActive,,Partial Failure
821,RVSN USSR,"Tanegashima Space Center, Japan",1984-12-18 03:20,Vega,StatusActive,139.7,Success
822,Arianespace,"Satish Dhawan Space Centre, India",1970-11-06 20:39,New Glenn,StatusRetired,51.7,Success
823,Northrop,"Cape Canaveral, FL, USA",1987-06-22 06:14,Soyuz,StatusActive,182.7,Success
824,Roscosmos,"Guiana Space Centre, French Guiana",2020-05-21 20:34,Falcon 9,StatusRetired,183.0,Success
825,Roscosmos,"Jiuquan, China",2008-10-05 16:42,Delta II,StatusActive,122.9,Success
826,ESA,"Jiuquan, China",1975-11-19 08:36,Soyuz,StatusActive,,Success
827,SpaceX,"Kennedy Space Center, FL, USA",2014-09-10 09:46,Antares,StatusRetired,189.5,Partial Failure
828,CASC,"Wenchang, China",2003-02-15 13:03,Atlas V,StatusRetired,263.4,Success
829,Roscosmos,"Plesetsk Cosmodrome, Russia",1972-05-10 20:19,Vulcan,StatusRetired,15.8,Success
830,ISRO,"Kennedy Space Center, FL, USA",2009-06-27 01:11,Ariane 5,StatusRetired,,Success
831,Arianespace,"Satish Dhawan Space Centre, India",1961-07-16 00:23,Proton-M,StatusRetired,248.1,Failure
832,ISRO,"Tanegashima Space Center, Japan",1991-05-12 19:04,Vega,StatusRetired,197.1,Success
833,CASC,"Guiana Space Centre, French Guiana",1968-09-18 05:29,Falcon 9,StatusRetired,101.6,Success
834,Arianespace,"Jiuquan, China",1981-01-23 23:42,Antares,StatusActive,233.6,Prelaunch Failure
835,JAXA,"Vandenberg AFB, CA, USA",2008-07-01 07:06,Electron,StatusRetired,375.1,Success
836,SpaceX,"Jiuquan, China",2015-10-16 03:37,Ariane 5,StatusActive,92.5,Success
837,ULA,"Guiana Space Centre, French Guiana",1977-07-22 15:51,Starship,StatusRetired,,Prelaunch Failure
838,SpaceX,"Cape Canaveral, FL, USA",1992-04-06 14:45,Atlas V,StatusActive,,Success
839,CASC,"Satish Dhawan Space Centre, India",2009-09-03 22:11,Proton-M,StatusRetired,244.2,Success
840,Roscosmos,"Baikonur Cosmodrome, Kazakhstan",1979-12-02 11:47,New Glenn,StatusRetired,83.7,Success
841,Roscosmos,"Tanegashima Space Center, Japan",1972-11-28 14:28,Vega,StatusActive,348.2,Failure
842,CASC,"Wenchang, China",2013-05-02 12:42,Proton-M,StatusRetired,91.7,Success
843,CASC,"Vandenberg AFB, CA, USA",1995-04-13 16:20,H-IIA,StatusActive,84.8,Success
844,Arianespace,"Kennedy Space Center, FL, USA",2001-07-09 14:13,Atlas V,StatusActive,,Success
845,ULA,"Plesetsk Cosmodrome, Russia",2009-04-16 09:43,Atlas V,StatusRetired,43.2,Success
846,MHI,"Plesetsk Cosmodrome, Russia",1998-03-27 15:14,Vega,StatusRetired,324.3,Success
847,ESA,"Plesetsk Cosmodrome, Russia",2014-09-05 09:03,Ariane 5,StatusRetired,24.4,Success
848,SpaceX,"Vandenberg AFB, CA, USA",1995-11-23 22:28,Ariane 5,StatusRetired,286.6,Success
849,SpaceX,"Guiana Space Centre, French Guiana",1970-08-28 08:52,Electron,StatusRetired,2190.3,Success
850,MHI,"Wenchang, China",1987-01-21 19:08,Long March 3B,StatusRetired,427.1,Success
851,Roscosmos,"Jiuquan, China",2014-07-07 20:56,Ariane 5,StatusRetired,,Success
852,Roscosmos,"Kennedy Space Center, FL, USA",1961-09-13 23:51,Ariane 5,StatusActive,134.8,Failure
853,ISRO,"Baikonur Cosmodrome, Kazakhstan",1991-08-20 10:42,H-IIA,StatusActive,380.8,Success
854,CASC,"Wenchang, China",1979-08-24 06:52,Proton-M,StatusActive,190.3,Failure
855,ULA,"Kennedy Space Center, FL, USA",1985-06-27 09:03,H-IIA,StatusRetired,1125.5,Failure
856,Rocket Lab,"Baikonur Cosmodrome, Kazakhstan",1999-11-26 04:04,Vulcan,StatusActive,,Success
857,Northrop,"Tanegashima Space Center, Japan",1967-04-13 10:40,Ariane 5,StatusActive,,Failure
858,SpaceX,"Guiana Space Centre, French Guiana",1974-08-27 15:40,Antares,StatusRetired,,Success
859,SpaceX,"Tanegashima Space Center, Japan",2003-03-26 21:29,Electron,StatusActive,,Partial Failure
860,Arianespace,"Guiana Space Centre, French Guiana",1968-09-07 03:01,Soyuz,StatusRetired,112.8,Success
861,JAXA,"Satish Dhawan Space Centre, India",1965-02-10 13:02,H-IIA,StatusActive,,Success
862,Arianespace,"Jiuquan, China",1966-02-15 17:20,PSLV,StatusActive,5.7,Partial Failure
863,SpaceX,"Cape Canaveral, FL, USA",2014-12-21 05:42,Soyuz,StatusActive,,Success
864,MHI,"Cape Canaveral, FL, USA",2000-12-27 20:17,New Glenn,StatusRetired,100.7,Success
865,SpaceX,"Guiana Space Centre, French Guiana",1973-07-06 11:04,Falcon 9,StatusRetired,161.0,Success
866,SpaceX,"Cape Canaveral, FL, USA",2017-12-05 08:19,Antares,StatusActive,,Partial Failure
867,Arianespace,"Vandenberg AFB, CA, USA",1994-10-23 17:18,Delta II,StatusActive,108.1,Failure
868,Arianespace,"Kennedy Space Center, FL, USA",1963-04-28 02:08,Long March 3B,StatusRetired,188.0,Failure
869,CASC,"Wenchang, China",2002-10-02 03:30,Falcon 9,StatusRetired,,Success
870,RVSN USSR,"Tanegashima Space Center, Japan",1969-08-21 16:16,Vulcan,StatusRetired,50.4,Success
871,RVSN USSR,"Satish Dhawan Space Centre, India",1996-09-15 22:22,Delta II,StatusRetired,,Success
872,ULA,"Jiuquan, China",1998-07-26 01:40,Antares,StatusRetired,,Success
873,CASC,"Jiuquan, China",1965-05-16 08:04,H-IIA,StatusRetired,26.4,Failure
874,Roscosmos,"Satish Dhawan Space Centre, India",2006-08-19 14:46,PSLV,StatusRetired,,Success
875,Arianespace,"Plesetsk Cosmodrome, Russia",1983-04-09 02:18,Vulcan,StatusRetired,581.3,Partial Failure
876,SpaceX,"Plesetsk Cosmodrome, Russia",2014-02-22 02:37,Delta II,StatusActive,,Success
877,MHI,"Plesetsk Cosmodrome, Russia",1958-11-26 03:23,Antares,StatusActive,,Failure
878,Arianespace,"Satish Dhawan Space Centre, India",1961-12-19 12:58,Delta II,StatusActive,68.0,Partial Failure
879,Arianespace,"Cape Canaveral, FL, USA",1985-06-07 12:58,Falcon 9,StatusActive,194.0,Success
880,ULA,"Baikonur Cosmodrome, Kazakhstan",1993-09-04 10:36,Ariane 5,StatusActive,1375.3,Failure
